N,Impl,Threads,Time_s,MFLOPS
1024,Basic,1,0.000869,2412.90
2048,Basic,1,0.003570,2349.68
4096,Basic,1,0.014547,2306.67
8192,Basic,1,0.058310,2301.80
16384,Basic,1,0.233531,2298.93
1024,Vectorized,1,0.000215,9745.31
2048,Vectorized,1,0.000925,9064.45
4096,Vectorized,1,0.004163,8059.57
8192,Vectorized,1,0.017197,7804.55
16384,Vectorized,1,0.069458,7729.46
1024,OpenMP,1,0.000880,2383.76
2048,OpenMP,1,0.003581,2342.81
4096,OpenMP,1,0.014585,2300.68
8192,OpenMP,1,0.058346,2300.38
16384,OpenMP,1,0.233074,2303.44
1024,OpenMP,4,0.000500,4190.16
2048,OpenMP,4,0.001524,5502.57
4096,OpenMP,4,0.004464,7516.07
8192,OpenMP,4,0.015591,8608.69
16384,OpenMP,4,0.060330,8898.96
1024,OpenMP,16,0.000641,3272.99
2048,OpenMP,16,0.001841,4556.55
4096,OpenMP,16,0.006837,4908.00
8192,OpenMP,16,0.014868,9027.22
16384,OpenMP,16,0.059381,9041.10
1024,OpenMP,64,0.001334,1572.13
2048,OpenMP,64,0.002844,2949.31
4096,OpenMP,64,0.007757,4325.52
8192,OpenMP,64,0.016602,8084.35
16384,OpenMP,64,0.061588,8717.13
1024,CBLAS,1,0.000161,12992.62
2048,CBLAS,1,0.000490,17103.38
4096,CBLAS,1,0.003979,8431.94
8192,CBLAS,1,0.018020,7448.31
16384,CBLAS,1,0.072022,7454.25
